"Muni,County",District,Wards,Senate,Senate_party,Senate_main_office,Senate_phone,Senate_email,Assembly_1,Assembly_party_1,Assembly_office_1,Assembly_phone_1,Assembly_email_1,Assembly_2,Assembly_party_2,Assembly_office_2,Assembly_phone_2,Assembly_email_2
Andover Borough,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Andover Township,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Asbury Park,District 11,No,JENNIFER BECK,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING,D,"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Atlantic City,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Atlantic Highlands,District 13,No,"JOSEPH M. KYRILLOS, JR.",R,"10 Hwy. 35, 2nd Floor, Red Bank, NJ 07701",732-671-3206,SenKyrillos@njleg.org,AMY H. HANDLIN,R,"225 Route 35, Suite 202, Red Bank, NJ 07701",732-383-7820,AsmHandlin@njleg.org,DECLAN O'SCANLON,R,"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,AsmOScanlon@njleg.org
Audubon,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Audubon Park,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Avalon,District 1,No,JEFF VAN DREW,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND,D,"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Avon-by-the-Sea,District 30,No,ROBERT W. SINGER,R,"1771 Madison Ave., Suite 202, Lakewood, NJ 08701",732-987-5669,SenSinger@njleg.org,SEAN T. KEAN,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmKean@njleg.org,DAVID P. RIBLE,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmRible@njleg.org
Barnegat,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Barnegat Light,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Barrington,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Bass River,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Bay Head,District 10,No,JIM HOLZAPFEL,R,"852 Highway 70, Brick, NJ 08724",732-840-9028,SenHolzapfel@njleg.org,DAVID W. WOLFE,R,"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmWolfe@njleg.org,GREGORY P. MCGUCKIN,R,"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmMcGuckin@njleg.org
Bayonne,District 31,No,SANDRA B. CUNNINGHAM,D,"1738 Kennedy Blvd., Jersey City, NJ 07305",201-451-5100,SenCunningham@njleg.org,NICHOLAS A. CHIARAVALLOTI,D,"836 Broadway, Bayonne, NJ 07002",201-471-2347,AsmChiaravalloti@njleg.org,ANGELA V. McKNIGHT,D,"2324 John F. Kennedy Blvd., Jersey City, NJ 07304",201-360-2502,AsmMcKnight@njleg.org
Beach Haven,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Beachwood,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Bedminster,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Belleville,District 29,No,M. TERESA RUIZ,D,"166 Bloomfield Ave., Newark, NJ 07104",973-484-1000,SenRuiz@njleg.org,ELIANA PINTOR MARIN,D,"263 Lafayette St. 1st Floor, Newark, NJ 07105",973-589-0713,AsmMarin@njleg.org,BLONNIE R WATSON,D,"191 Central Avenue, Suite 220, Newark, NJ 07103",973-624-1730,AsmWatson@njleg.org
Bellmawr,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Belmar,District 30,No,ROBERT W. SINGER,R,"1771 Madison Ave., Suite 202, Lakewood, NJ 08701",732-987-5669,SenSinger@njleg.org,SEAN T. KEAN,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmKean@njleg.org,DAVID P. RIBLE,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmRible@njleg.org
Belvidere,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Bergenfield,District 38,No,ROBERT M. GORDON,D,"14-25 Plaza Rd., P.O. Box 398, Fair Lawn, NJ 07410",201-703-9779,SenGordon@njleg.org,TIMOTHY J. EUSTACE,D,"205 Robin Rd., Suite 216, Paramus, NJ 07652",201-576-9199,AsmEustace@njleg.org,JOSEPH A. LAGANA,D,"205 Robin Rd., Suite 222, Paramus, NJ 07652",201-576-9199,AsmLagana@njleg.org
Berkeley,District 9,No,CHRISTOPHER J. CONNORS JR,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,SenConnors@njleg.org,BRIAN E. RUMPF,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmRumpf@njleg.org,DIANNE C. GOVE,R,"620 West Lacey Rd., Forked River, NJ 08731",609-693-6700,AsmGove@njleg.org
Berkeley Heights,District 21,No,"THOMAS H. KEAN, JR.",R,"57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK,R,"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ,R,"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Berlin Borough,District 8,No,DAWN MARIE ADDIEGO,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,SenAddiego@njleg.org,JOSEPH HOWARTH,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmHowarth@njleg.org,MARIA RODRIGUEZ-GREGG,R,"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmRodriguezGregg@njleg.org
Berlin Township,District 6,No,JAMES BEACH,D,"1309 Route 70 West, Cherry Hill, NJ 08002",856-429-1572,SenBeach@njleg.org,LOUIS D. GREENWALD,D,"1101 Laurel Oak Ave., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmGreenwald@njleg.org,PAMELA R. LAMPITT,D,"1101 Laurel Oak Rd., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmLampitt@njleg.org
Bernards,District 21,No,"THOMAS H. KEAN, JR.",R,"57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK,R,"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ,R,"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Bernardsville,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Bethlehem,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Beverly,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Blairstown,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Bloomfield,District 28,No,RONALD L. RICE,D,"1044 South Orange Ave., Newark, NJ 07106",973-371-5665,SenRice@njleg.org,RALPH R. CAPUTO,D,"148-152 Franklin St., Belleville, NJ 07109",973-450-0484,AsmCaputo@njleg.org,CLEOPATRA G. TUCKER,D,"400 Lyons Ave., Newark, NJ 07112",973-926-4320,AsmTucker@njleg.org
Bloomingdale,District 39,No,GERALD CARDINALE,R,"350 Madison Ave., Cresskill, NJ 07626",201-567-2324,SenCardinale@njleg.org,ROBERT AUTH,R,"1069 Ringwood Ave., Suite 312, Haskell, NJ 07420",862-248-0491,AsmAuth@njleg.org,HOLLY SCHEPISI,R,"287 Kinderkamack Rd., Westwood, NJ 07675",201-666-0881,AsmSchepisi@njleg.org
Bloomsbury,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Bogota,District 37,No,LORETTA WEINBERG,D,"545 Cedar Lane, Teaneck, NJ 07666",201-928-0100,SenWeinberg@njleg.org,GORDON M. JOHNSON,D,"545 Cedar Lane, Teaneck, NJ 07666",201-836-4924,AsmJohnson@njleg.org,VALERIE VAINIERI HUTTLE,D,"1 Eagle Street, Englewood, NJ 07631",201-541-1118,AsmHuttle@njleg.org
Boonton,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Boonton Township,District 25,No,ANTHONY R. BUCCO,R,"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL,R,"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO,R,"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Bordentown,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Bordentown Township,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Bound Brook,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Bradley Beach,District 30,No,ROBERT W. SINGER,R,"1771 Madison Ave., Suite 202, Lakewood, NJ 08701",732-987-5669,SenSinger@njleg.org,SEAN T. KEAN,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmKean@njleg.org,DAVID P. RIBLE,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmRible@njleg.org
Branchburg,District 16,No,"CHRISTOPHER ""KIP"" BATEMAN",R,"36 East Main St., Somerville, NJ 08876",908-526-3600,SenBateman@njleg.org,JACK M. CIATTARELLI,R,"50 Division St., Suite 200, Somerville, NJ 08876",908-450-7064,AsmCiattarelli@njleg.org,ANDREW ZWICKER,D,"23 Orchard Road, Suite 170, Skillman, NJ 08558",609-454-3147,AsmZwicker@njleg.org
Branchville,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Brick,District 10,No,JIM HOLZAPFEL,R,"852 Highway 70, Brick, NJ 08724",732-840-9028,SenHolzapfel@njleg.org,DAVID W. WOLFE,R,"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmWolfe@njleg.org,GREGORY P. MCGUCKIN,R,"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmMcGuckin@njleg.org
Bridgeton,District 3,No,STEPHEN M. SWEENEY,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI,D,"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO,D,"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Bridgewater,District 23,No,MICHAEL J. DOHERTY,R,"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON,R,"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO,R,"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Brielle,District 30,No,ROBERT W. SINGER,R,"1771 Madison Ave., Suite 202, Lakewood, NJ 08701",732-987-5669,SenSinger@njleg.org,SEAN T. KEAN,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmKean@njleg.org,DAVID P. RIBLE,R,"1955 Highway 34, Bldg. 2A, Wall Township, NJ 07719",732-974-0400,AsmRible@njleg.org
Brigantine,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Brooklawn,District 5,No,NILSA CRUZ-PEREZ,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES,D,"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Buena,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Buena Vista,District 2,No,JIM WHELAN,D,"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN,R,"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO,D,"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Burlington,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Burlington Township,District 7,No,DIANE B. ALLEN,R,"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR.",D,"Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON,D,"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Butler,District 26,No,JOSEPH PENNACCHIO,R,"170 Changebridge Rd., Unit A1, Montville, NJ 07045",973-227-4012,SenPennacchio@njleg.org,BETTYLOU DeCROCE,R,"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmDeCroce@njleg.org,JAY WEBBER,R,"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmWebber@njleg.org
Byram,District 24,No,STEVEN V. OROHO,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS,R,"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
